日時	時刻	気温	降水量	風向	風速	日照時間
日時	時	℃	mm	16方位	m/s	h
2016-05-23 01:00:00	1	12.1	0.0	南	0.5	
2016-05-23 02:00:00	2	11.5	0.0	南南西	0.7	
2016-05-23 03:00:00	3	11.4	0.0	南南東	0.3	
2016-05-23 04:00:00	4	10.4	0.0	南南東	0.8	0.0
2016-05-23 05:00:00	5	10.1	0.0	南南東	0.7	0.0
2016-05-23 06:00:00	6	11.0	0.0	東	0.9	0.5
2016-05-23 07:00:00	7	14.4	0.0	静穏	0.0	1.0
2016-05-23 08:00:00	8	18.3	0.0	北北東	2.3	1.0
2016-05-23 09:00:00	9	21.9	0.0	北西	1.8	1.0
2016-05-23 10:00:00	10	24.7	0.0	東	3.3	1.0
2016-05-23 11:00:00	11	25.7	0.0	東北東	3.5	1.0
2016-05-23 12:00:00	12	26.3	0.0	東北東	3.6	1.0
2016-05-23 13:00:00	13	26.6	0.0	東北東	4.3	1.0
2016-05-23 14:00:00	14	28.0	0.0	南東	3.3	1.0
2016-05-23 15:00:00	15	28.0	0.0	南東	2.6	1.0
2016-05-23 16:00:00	16	27.8	0.0	南東	2.3	1.0
2016-05-23 17:00:00	17	26.5	0.0	南東	2.8	1.0
2016-05-23 18:00:00	18	24.3	0.0	南	2.2	1.0
2016-05-23 19:00:00	19	22.1	0.0	西北西	1.5	0.5
2016-05-23 20:00:00	20	18.8	0.0	南南東	0.4	0.0
2016-05-23 21:00:00	21	20.5	0.0	東北東	2.0	
2016-05-23 22:00:00	22					
2016-05-23 23:00:00	23					
2016-05-24 00:00:00	24					